Date,total_revenue,us_revenue,international_revenue,pay-user,tech_development,net_income
12_Q1,870,507,29,24.43,83,-5
12_Q2,889,522,43,25.71,81,6
12_Q3,905,556,65,27.49,82,8
12_Q4,945,589,78,30.36,82,8
13_Q1,1024,639,142,34.24,92,3
13_Q2,1069,671,166,35.63,93,29
13_Q3,1106,701,183,38.01,95,32
13_Q4,1175,741,221,41.43,98,48
14_Q1,1279,799,267,46.14,110,53
14_Q2,1340,838,307,47.99,115,71
14_Q3,1409,877,346,50.65,121,59
14_Q4,1485,917,388,54.48,126,83
15_Q1,1573,985,415,59.62,143,24
15_Q2,1645,1023,455,62.71,155,26
15_Q3,1738,1064,517,66.02,171,29
15_Q4,1823,1106,566,70.84,180,43
16_Q1,1958,1161,652,77.71,187,28
16_Q2,2105,1208,758,79.9,190,41
16_Q3,2290,1304,853,83.28,197,52
16_Q4,2478,1403,948,89.09,206,67
17_Q1,2637,1470,1046,94.36,234,178
17_Q2,2785,1505,1165,99.04,242,66
17_Q3,2985,1547,1327,104.02,230,130
17_Q4,3286,1630,1550,110.64,247,186
18_Q1,3701,1820,1782,118.9,282,290
18_Q2,3907,1893,1921,124.35,300,384
18_Q3,3999,1937,1973,130.42,308,403
18_Q4,4187,1996,2105,139.26,332,134
19_Q1,4521,2257,2183,148.86,372,344
19_Q2,4923,2501,2345,151.56,383,271
19_Q3,5245,2621,2552,158.33,379,665
19_Q4,5467,2672,2727,167.09,409,587
20_Q1,5768,2702,3000,182.86,454,709
20_Q2,6148,2839,3247,192.95,435,720
20_Q3,6436,2933,3443,195.15,454,790
20_Q4,6644,2979,3610,203.66,487,542
21_Q1,7163,3171,3942,,525,1706